Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
101N,DS,,\NATURAL CHAIR W/BACK CUSHION,HMLG,30.00(Unit Price),0,,,MCCS,7.74,1.5,2,
102,DS,,"T HDBD,VICTORIAN OAK FINISH",HMLG,,0,,,MCCS,27,2.33,1,
103,DS,,"TWIN HEADBOARD, SOLID WOOD, OAK MISSN",HMLG,49.00(Unit Price),0,,,MCCS,27,1.69,1,XXY-71
103QF,DS,,QUEEN / FULL HEADBOARD,HMLG,69.00(Unit Price),0,,,MCCS,30,2.7,1,XXY-71
104,DS,,"T HDBD, SOLID WOOD MISSION",HMLG,,0,,,MCCS,33.21,2.6,1,
106QF,DS,,"QUEEN / FULL HEADBOARD, CHERRY",HMLG,129.00(Unit Price),0,,,MCCS,48,7.82,1,XXY-71
107,DS,,"TWIN HEADBOARD, CHERRY",HMLG,33.00(Promotional Price),0,,,MCCS,33.2,1.97,1,XXY-71
107QF,DS,,QUEEN / FULL HEADBOARD,HMLG,75.00(Unit Price),0,,,MCCS,36.5,2.6,1,XXY-71
108,DS,,"T HDBD, OAK FINISH",HMLG,,0,,,MCCS,28,1.63,1,
109,DS,,"T HDBD, WHITE",HMLG,,0,,,MCCS,28,1.4,1,
110,DS,,"TWIN HEADBOARD, WHITE",HMLG,33.00(Promotional Price),0,,,MCCS,26.56,1.4,1,XXY-71
1107BGD,DS,TBDS,"\SWIVEL STOOL,BURGUNDY, 1PC/CTN",HMLG,32.00(Promotional Price),0,,,CGDT,24.97,5.15,1,XD-210
1107BLK,DS,TBDS,"\SWIVEL STOOL, BLACK, 1PC/CTN",HMLG,45.00(Promotional Price),0,,,CGDT,24.97,5.15,1,XD-210
1108BLK,DS,,"\SWIVEL STOOL, BLACK PU",HMLG,59.00(Unit Price),0,,,CGDT,24.2,3.8,2,XD-210
1108RED,DS,TBDS,"\SWIVEL STOOL, RED PU",HMLG,25.00(Promotional Price),0,,,CGDT,24.2,3.8,2,XD-210
1108WHT,DS,,"\SWIVEL STOOL, WHITE PU",HMLG,59.00(Unit Price),0,,,CGDT,24.2,3.8,2,XD-210
110QF,DS,TBDS,QUEEN / FULL HEADBOARD,HMLG,23.00(Promotional Price),0,,,MCCS,26.4,2.26,1,XXY-71
1131-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,67.00(Unit Price),333,20 04/22/2018,,MCES,23.65,2.61,1,D-194
1131-29S,IN,,SWIVEL PUB CHAIR,HMLG,71.00(Unit Price),170,35 04/01/2018,,MCES,24.53,2.61,1,D-194
1132-29S,DS,TBDS,"\SWIVEL PUB CHAIR, OAK FIN, 1PC",HMLG,,0,,,MCES,26.78,3.11,1,
1133-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,71.00(Unit Price),166,60 04/01/2018,20 05/27/2018,MCES,24.97,2.82,1,D-194
1133-29S,IN,,SWIVEL PUB CHAIR,HMLG,77.00(Unit Price),128,60 04/01/2018,40 05/27/2018,MCES,26.07,2.82,1,D-194
1134-29S,DS,,"\SWIVEL PUB CHAIR, OAK FIN, 1PC",HMLG,39.00(Unit Price),0,,,MCES,26.78,3.11,1,
1136-24S,DS,TBDS,SWIVEL COUNTER HEIGHT CHAIR,HMLG,67.00(Unit Price),0,,,MCES,26.78,2.82,1,XD-206
1136-29S,DS,TBDS,SWIVEL PUB CHAIR,HMLG,71.00(Unit Price),0,,,MCES,28.6,2.82,1,XD-206
1140E-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,61.00(Unit Price),125,"120 04/01/2018
104 04/22/2018","16 04/21/2018
127 05/27/2018",MCES,23.32,2.61,1,D-194
1140E-29S,IN,,SWIVEL PUB CHAIR,HMLG,67.00(Unit Price),192,"5 04/01/2018
35 04/22/2018","15 04/21/2018
30 05/27/2018",MCES,23.98,2.61,1,D-194
1142E-24S,DS,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,61.00(Unit Price),0,,,MCES,26.62,2.61,1,XD-205
1142E-29S,DS,,SWIVEL PUB CHAIR,HMLG,38.00(Promotional Price),0,,,MCES,27.36,2.61,1,XD-205
1144E-24S,IN,,SWIVEL COUNTER HEIGHT CHAIR,HMLG,61.00(Unit Price),247,"70 04/01/2018
109 04/22/2018",,MCES,23.76,2.61,1,D-194
1144E-29S,IN,,SWIVEL PUB CHAIR,HMLG,67.00(Unit Price),73,9 04/01/2018,,MCES,24.31,2.61,1,D-194
1145BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),1,,,CGDT,14.74,1.73,2,XD-192
1145RED,DS,,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,14.74,1.73,2,XD-192
1145WHT,DS,,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,14.75,1.73,2,XD-192
1146BLK,DS,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,16.5,1.05,2,XD-208
1146RED,DS,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),2,,,CGDT,16.5,1.05,2,XD-208
1146WHT,DS,TBDS,AIRLIFT SWIVEL STOOL,HMLG,21.00(Unit Price),0,,,CGDT,16.5,1.05,2,XD-208
1147BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,27.00(Unit Price),126,,,CGDT,14.85,2.59,2,D-192
1147RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,27.00(Unit Price),59,,,CGDT,14.85,2.59,2,D-192
1147WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,27.00(Unit Price),88,,,CGDT,14.85,2.59,2,D-192
1148BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,30.00(Unit Price),77,,350 04/25/2018,CGDT,16.28,1.99,2,D-193
1148RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,30.00(Unit Price),196,,100 04/25/2018,CGDT,16.28,1.99,2,D-193
1148WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,30.00(Unit Price),107,,100 04/25/2018,CGDT,16.28,1.99,2,D-193
1149BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),146,,,CGDT,16.72,2.17,2,D-193
1149RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),102,,,CGDT,16.72,2.17,2,D-193
1149WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),51,,30 04/25/2018,CGDT,16.72,2.17,2,D-193
1153BLK,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1153RED,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1153WHT,DS,,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),0,,,CGDT,18.48,1.94,2,XXD-214
1155BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),76,,,CGDT,23.1,1.97,2,XD-192
1155RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),37,,,CGDT,23.1,1.97,2,XD-192
1155WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),58,,,CGDT,23.1,1.97,2,XD-192
1156BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),133,,100 04/25/2018,CGDT,23.1,1.99,2,D-192
1156RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),51,,50 04/25/2018,CGDT,23.1,1.99,2,D-192
1156WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,37.00(Unit Price),136,,,CGDT,23.1,1.99,2,D-192
1157BRW,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),179,,220 04/25/2018,CGDT,20.79,2.22,2,D-191
1157RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,41.00(Unit Price),95,,80 04/25/2018,CGDT,20.79,2.22,2,D-191
1167F1S,DS,,"ACCENT CHAIR, KIDNEY PLLW, GREY",HMLG,159.00(Unit Price),0,,,CGHA,60.5,18.2,1,
1178BLK,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,51.00(Unit Price),40,,100 04/25/2018,CGDT,24.42,2.43,2,D-191
1178RED,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,51.00(Unit Price),94,,,CGDT,24.42,2.43,2,D-191
1178WHT,IN,TBDS,AIRLIFT SWIVEL STOOL,HMLG,51.00(Unit Price),91,,,CGDT,24.42,2.43,2,D-191
1180BLK,DS,,"CRADLE CHAIR, BLACK ABS",HMLG,35.00(Promotional Price),0,,,CGDT,11,5.73,1,XXH-66
1180BLU,DS,TBDS,"CRADLE CHAIR, BLUE ABS",HMLG,25.00(Promotional Price),0,,,CGDT,11,5.73,1,XXH-66
1180WHT,DS,,"CRADLE CHAIR, WHITE ABS",HMLG,42.00(Promotional Price),0,,,CGDT,11,5.73,1,XXH-66
1185BE-1,IN,,"SWIVEL CHAIR, BEIGE 100% POLYESTER",HMLG,99.00(Unit Price),0,,74 06/06/2018,CPZY,0,13.03,1,SNEW
1185BR-1,IN,,"SWIVEL CHAIR, GRAYISH BROWN 100% POLYESTER",HMLG,99.00(Unit Price),0,,81 06/06/2018,CPZY,0,13.03,1,SNEW
1185BU-1,IN,,"SWIVEL CHAIR, BLUE 100% POLYESTER",HMLG,99.00(Unit Price),0,,77 06/06/2018,CPZY,0,13.03,1,SNEW
1185DG-1,IN,,"SWIVEL CHAIR, DARK GRAY 100% POLYESTER",HMLG,99.00(Unit Price),0,,72 06/06/2018,CPZY,0,13.03,1,SNEW
1188BK-24,IN,,"COUNTER HEIGHT STOOL, BLACK",HMLG,30.00(Unit Price),372,240 04/15/2018,,MCCW,10.45,1.03,2,D-190
1188DB-24,IN,,"COUNTER HEIGHT STOOL, DARK BROWN",HMLG,30.00(Unit Price),197,,,MCCW,10.45,1.03,2,D-190
1188RD-24,IN,,"COUNTER HEIGHT STOOL, RED",HMLG,30.00(Unit Price),226,,,MCCW,10.45,1.03,2,D-190
1190BU-1,IN,,"ACCENT CHAIR, BLUE VELVET",HMLG,119.00(Unit Price),0,,85 05/09/2018,CGZN,0,13.04,1,SNEW
1190GY-1,IN,,"ACCENT CHAIR, GRAY VELVET",HMLG,119.00(Unit Price),0,,87 05/09/2018,CGZN,0,13.04,1,SNEW
1191F1S,IN,,ACCENT CHAIR,HMLG,67.00(Unit Price),77,,,CGYQ,24.86,5.36,1,S-214
1191F2S,IN,,ACCENT CHAIR,HMLG,67.00(Unit Price),145,,,CGYQ,24.86,5.36,1,S-214
1191F3S,IN,,ACCENT CHAIR,HMLG,71.00(Unit Price),70,,,CGYQ,24.86,5.36,1,S-213
1191F4S,IN,,ACCENT CHAIR,HMLG,71.00(Unit Price),72,,,CGYQ,24.86,5.36,1,S-213
1191F5S,IN,,ACCENT CHAIR,HMLG,71.00(Unit Price),125,,,CGYQ,24.86,5.36,1,S-214
1191F6S,IN,,ACCENT CHAIR,HMLG,71.00(Unit Price),59,,,CGYQ,24.86,5.36,1,S-213
1192BE,IN,,"ACCENT CHAIR, BEIGE 100% POLYESTER",HMLG,89.00(Unit Price),0,201 04/10/2018,"30 05/02/2018
109 05/09/2018
99 06/06/2018
44 06/27/2018",CPZY,40.48,12.27,1,S-209
1192BL,IN,,"ACCENT CHAIR, BLUE 100% POLYESTER",HMLG,89.00(Unit Price),0,195 04/10/2018,"30 05/02/2018
159 05/09/2018
149 06/06/2018
92 06/13/2018
60 06/27/2018",CPZY,40.48,12.27,1,S-209
1192GY,IN,,"ACCENT CHAIR, GREY 100% POLYESTER",HMLG,89.00(Unit Price),41,165 04/10/2018,"47 05/02/2018
84 05/09/2018
87 06/06/2018
40 06/27/2018",CPZY,40.48,12.27,1,S-209
1192RN,IN,,"ACCENT CHAIR, ORANGE 100% POLYESTER",HMLG,89.00(Unit Price),0,154 04/10/2018,"77 05/02/2018
200 05/09/2018
217 06/06/2018
92 06/13/2018
40 06/27/2018",CPZY,40.48,12.27,1,S-209
1193F1S,IN,,"ACCENT CHAIR, KHAKIS SOLID, 3A",HMLG,133.00(Unit Price),168,,,CGZN,37.4,12.04,1,S-205
1193F2S,IN,,"ACCENT CHAIR, VINTAGE, 3A",HMLG,133.00(Unit Price),225,,,CGZN,46.2,12.04,1,S-205
1193F3S,IN,TBDS,"ACCENT CHAIR, BLUE, 3A",HMLG,129.00(Unit Price),20,,,CGZN,39.6,12.04,1,XS-201
1193F4S,IN,TBDS,"ACCENT CHAIR, GREY, 3A",HMLG,129.00(Unit Price),5,,,CGZN,46.2,12.04,1,XS-202
1193F5S,IN,,"ACCENT CHAIR, DK TEAL SOLID,3A",HMLG,133.00(Unit Price),88,,,CGZN,46.2,12.04,1,S-204
1193F6S,IN,,"ACCENT CHAIR, CHAIN LINK, 3A",HMLG,133.00(Unit Price),94,,,CGZN,46.2,12.04,1,S-204
1193F7S,IN,,"ACCENT CHAIR, BLK PAISLEY, 3A",HMLG,133.00(Unit Price),75,,,CGZN,46.2,12.04,1,S-204
1194BLK,DS,,"CHAISE, BLK BONDED LTHR MATCH",HMLG,169.00(Unit Price),0,,,CGGI,57.2,33.3,1,
1194CH,IN,,"ACCENT CHAIR, CHOCOLATE",HMLG,99.00(Unit Price),36,"97 03/31/2018
32 04/07/2018
31 04/14/2018","34 05/02/2018
79 05/23/2018",CGZN,46.86,10.18,1,S-203
1194F1S,DS,,"ACCENT CHAIR, HOUNDSTOOTH CHECK  (3A)",HMLG,125.00(Unit Price),0,,,CGZN,0,13,1,
1194F2S,DS,,"ACCENT CHAIR, HERRINGBONE FABRIC  (3A)",HMLG,125.00(Unit Price),0,,,CGZN,0,13,1,
1194IN,IN,,"ACCENT CHAIR, INDIGO",HMLG,99.00(Unit Price),111,"60 03/31/2018
74 04/07/2018
53 04/14/2018","75 05/02/2018
190 05/23/2018
100 06/06/2018",CGZN,46.86,10.18,1,S-203
1194TL,IN,,"ACCENT CHAIR, TEAL",HMLG,99.00(Unit Price),0,"184 03/31/2018
85 04/07/2018
80 04/14/2018",69 05/02/2018,CGZN,46.86,10.18,1,S-203
1194TP,IN,,"ACCENT CHAIR, TAUPE",HMLG,99.00(Unit Price),162,"118 03/31/2018
39 04/07/2018
66 04/14/2018","52 05/02/2018
191 05/23/2018
130 06/06/2018",CGZN,46.86,10.18,1,S-203
1195F1S,IN,TBDS,"ACCENT CHAIR, NEUTRAL FABRIC",HMLG,149.00(Unit Price),26,,,CPWL,51.7,14.4,1,XS-199
1196F1S,DS,,SWIVEL ACCENT CHAIR,HMLG,267.00(Unit Price),0,,,CGZN,72.6,33,1,XXH-84
1196F2S,DS,,"SWIVEL ACCENT CHAIR, LETTER",HMLG,259.00(Unit Price),0,,,CGZN,72.6,33,1,
1197F1S,DS,,"ACCENT CHAIR, BEIGE FABRIC, SET-UP",HMLG,139.00(Unit Price),0,,,CGYQ,56.32,19.6,1,XS-191
1197F2S,DS,,"ACCENT CHAIR, BROWN FABRIC, SET-UP",HMLG,139.00(Unit Price),0,,,CGYQ,56.32,19.6,1,XS-191
1200BLK,IN,,"SWIVEL CHAIR, BLACK PU",HMLG,149.00(Unit Price),17,,,CPSY,63.8,18.65,1,S-194
1200BRW,IN,,"SWIVEL CHAIR, BROWN PU",HMLG,149.00(Unit Price),49,,,CPSY,63.8,18.65,1,S-194
1205-01,DS,,RD COCKTAIL TABLE,HMLG,65.00(Promotional Price),0,,,CSCV,63.76,5.94,1,XXT-37
1205-04,DS,,END TABLE,HMLG,92.00(Unit Price),0,,,CSCV,45.6,5.01,1,XXT-37
1205-05,DS,,SOFA TABLE,HMLG,119.00(Unit Price),0,,,CSCV,59.77,6.21,1,XXT-37
1205-30,DS,TBDS,OVAL COCKTAIL TABLE,HMLG,49.00(Promotional Price),0,,,CSCV,65.85,9.85,1,XXT-37
1205-40,DS,,SERVER,HMLG,145.00(Promotional Price),0,,,CSCV,141.92,30.6,1,XXD-111
1205-48,DS,,"48""RD DINING TABLE",HMLG,171.00(Unit Price),0,,,CSCV,104.5,11.1,1,XXD-112
1205-50,DS,,"(1/2) HUTCH TOP, CHERRY",HMLG,249.88(Unit Price),0,,,CSCV,152.8,31.5,1,XXD-111
1205-54,DS,,"54""RD PEDESTAL TABLE",HMLG,133.00(Promotional Price),0,,,CSCV,112.47,12.4,1,XXD-112
1205-54B,DS,TBDS,(2/2) PEDESTAL TABLE BASE,HMLG,66.88(Promotional Price),0,,,CSCV,0,4.72,1,XXD-111
1205-54T,DS,TBDS,(1/2) TABLE TOP,HMLG,28.12(Promotional Price),0,,,CSCV,0,7.68,1,XXD-111
1205-55,DS,,"(2/2) BTM BUFFET, CHERRY",HMLG,135.12(Unit Price),0,,,CSCV,77.49,15.4,1,XXD-111
1205-72,DS,,DINING TABLE,HMLG,79.00(Promotional Price),0,,,CSCV,96.53,10.2,1,XXD-111
1205E-1,DS,,"QN/FULL HDBD, DARK ESPRESSO",HMLG,99.00(Unit Price),0,,,VSVC,70.4,14.3,1,
1205E-4,DS,,NIGHT STAND,HMLG,99.00(Unit Price),0,,,VSVC,65.12,11.2,1,
1205E-5,DS,,DRESSER,HMLG,239.00(Unit Price),0,,,VSVC,161.04,34.7,1,
1205E-6,DS,,MIRROR,HMLG,63.00(Unit Price),0,,,VSVC,44.44,7.09,1,
1205E-9,DS,,CHEST,HMLG,199.00(Unit Price),0,,,VSVC,128.04,25.3,1,
1205KE-1,DS,,EK/CK HDBD,HMLG,139.00(Unit Price),0,,,VSVC,89.32,17.5,1,
1205PUS,DS,,"SIDE CHAIR, P/U",HMLG,29.00(Promotional Price),0,,,CSCV,24.68,3.44,2,XXD-111
1210-1,DS,,PE WICKER RLNR CHAIR & OTTOMAN,HMLG,,0,,,VCLD,0,18.1,1,
1212F1S,IN,,"ACCENT CHAIR, OATMEAL, 3A",HMLG,133.00(Unit Price),175,,,CGZN,41.58,11.26,1,S-206
1212F2S,IN,,"ACCENT CHAIR, FRENCH-NOTE, 3A",HMLG,133.00(Unit Price),161,,,CGZN,41.58,11.1,1,S-206
1212F3S,DS,,"ACCENT CHAIR, LT COLR SCRIPT,3A",HMLG,,0,,,CGZN,0,11.1,1,
1212F4S,IN,TBDS,"ACCENT CHAIR, GREY CHEVRON,3A",HMLG,99.00(Promotional Price),31,,,CGZN,37.51,11.1,1,XS-200
1212F5S,DS,,"ACCENT CHAIR, CAMEL CHEVRON  (3A)",HMLG,133.00(Unit Price),0,,,CGZN,0,11.2,1,
1212F6S,DS,,"ACCENT CHAIR, TURQUOISE CHEVRON  (3A)",HMLG,133.00(Unit Price),0,,,CGZN,0,11.2,1,
1215BRS,DS,TBDS,"ACCENT CHAIR, DARK BROWN P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1215CRS,DS,TBDS,"ACCENT CHAIR, CREAM P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1215GRS,DS,TBDS,"ACCENT CHAIR, GREEN P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1215RDS,DS,,"ACCENT CHAIR, RED P/U",HMLG,29.00(Promotional Price),0,,,MCCW,24.2,5.76,1,XS-178
1216F1S,DS,,ACCENT CHAIR,HMLG,175.00(Unit Price),0,,,CGHP,53.9,16.25,1,XS-193
1217F1S,DS,,ACCENT CHAIR,HMLG,209.00(Unit Price),0,,,CGHZ,56.32,19.22,1,XS-189
1217F2S,DS,,"ACCENT CHAIR, NEW FABRIC",HMLG,199.00(Unit Price),0,,,CGHZ,56.32,19.22,1,XS-189
1218DG-1,IN,,"ACCENT CHAIR, DARK GRAY 100% POLYESTER",HMLG,119.00(Promotional Price),0,48 04/10/2018,18 06/06/2018,CPZY,0,13.14,1,S-128
1218DG-2,IN,,"LOVE SEAT, DARK GRAY 100% POLYESTER",HMLG,169.00(Promotional Price),0,54 04/10/2018,1 04/18/2018,CPZY,0,22.55,1,S-128
1218DG-3,IN,,"SOFA, DARK GRAY 100% POLYESTER",HMLG,189.00(Promotional Price),0,79 04/10/2018,,CPZY,0,32.44,1,S-128
1218F1S,IN,,"ACCENT CHAIR, BEIGE 100% POLYESTER",HMLG,119.00(Promotional Price),106,38 04/03/2018,,CPZY,50.16,13.14,1,S-126
1218F1S-2,IN,,"LOVE SEAT, BEIGE 100% POLYESTER",HMLG,169.00(Promotional Price),0,26 04/03/2018,,CPZY,0,22.55,1,S-126
1218F1S-3,IN,,"SOFA, BEIGE 100% POLYESTER",HMLG,189.00(Promotional Price),0,36 04/03/2018,,CPZY,0,32.44,1,S-126
1218RN-1,IN,,"ACCENT CHAIR, ORANGE 100% POLYESTER",HMLG,119.00(Promotional Price),0,34 04/10/2018,18 06/06/2018,CPZY,0,13.14,1,S-127
1218RN-2,IN,,"LOVE SEAT, ORANGE 100% POLYESTER",HMLG,169.00(Promotional Price),0,26 04/10/2018,,CPZY,0,22.55,1,S-127
1218RN-3,IN,,"SOFA, ORANGE 100% POLYESTER",HMLG,189.00(Promotional Price),0,38 04/10/2018,,CPZY,0,32.44,1,S-127
1218TL-1,IN,,"ACCENT CHAIR, TEAL 100% POLYESTER",HMLG,119.00(Promotional Price),0,35 04/10/2018,18 06/06/2018,CPZY,0,13.14,1,S-125
1218TL-2,IN,,"LOVE SEAT, TEAL 100% POLYESTER",HMLG,169.00(Promotional Price),0,25 04/10/2018,,CPZY,0,22.55,1,S-125
1218TL-3,IN,,"SOFA, TEAL 100% POLYESTER",HMLG,189.00(Promotional Price),0,38 04/10/2018,,CPZY,0,32.44,1,S-125
1219BU-1,IN,,"ACCENT CHAIR, BLUE 100% POLYESTER",HMLG,109.00(Promotional Price),79,63 04/10/2018,33 06/06/2018,CPZY,54.34,14.83,1,S-199
1219BU-2,IN,,"LOVE SEAT, BLUE 100% POLYESTER",HMLG,179.00(Promotional Price),0,30 04/10/2018,,CPZY,79.42,25.35,1,SNEW
1219BU-3,IN,,"SOFA, BLUE 100% POLYESTER",HMLG,199.00(Promotional Price),0,42 04/10/2018,,CPZY,104.5,35.51,1,SNEW
1219CH-1,IN,,"ACCENT CHAIR, CHOCOLATE 100% POLYESTER",HMLG,109.00(Promotional Price),52,"51 04/10/2018
12 04/18/2018","76 06/06/2018
64 06/27/2018",CPZY,54.34,14.83,1,S-199
1219CH-2,IN,,"LOVE SEAT, CHOCOLATE 100% POLYESTER",HMLG,179.00(Promotional Price),0,20 04/18/2018,26 06/06/2018,CPZY,79.42,25.35,1,SNEW
1219CH-3,IN,,"SOFA, CHOCOLATE 100% POLYESTER",HMLG,199.00(Promotional Price),0,30 04/18/2018,32 06/06/2018,CPZY,104.5,35.51,1,SNEW
1219GY-1,IN,,"ACCENT CHAIR, GRAY 100% POLYESTER",HMLG,109.00(Promotional Price),27,12 04/03/2018,"113 06/06/2018
104 06/27/2018",CPZY,54.34,14.83,1,S-199
1219GY-2,IN,,"LOVE SEAT, GRAY 100% POLYESTER",HMLG,179.00(Promotional Price),0,26 04/03/2018,20 06/06/2018,CPZY,79.42,25.35,1,SNEW
1219GY-3,IN,,"SOFA, GRAY 100% POLYESTER",HMLG,199.00(Promotional Price),0,38 04/03/2018,25 06/06/2018,CPZY,104.5,35.51,1,SNEW
1220F1S,IN,,"ACCENT CHAIR, GRAY",HMLG,119.00(Unit Price),2,,"26 05/01/2018
48 06/06/2018",CPSY,46.2,14.01,1,S-210
1220F2S,IN,,"ACCENT CHAIR, RED",HMLG,119.00(Unit Price),0,,"30 05/01/2018
48 06/06/2018",CPSY,46.2,14.01,1,S-210
1220F3S,IN,,"ACCENT CHAIR, TEAL",HMLG,119.00(Unit Price),19,,"30 05/01/2018
48 06/06/2018",CPSY,46.2,14.01,1,S-210
1221-1,IN,,SWIVEL CHAIR W/ NAILHEADS,HMLG,149.00(Unit Price),4,,"36 05/01/2018
27 06/06/2018",CPSY,64.9,17.4,1,S-193
1222F1S,DS,TBDS,ACCENT CHAIR,HMLG,29.00(Promotional Price),0,,,CGYQ,29.37,7.94,1,XS-173
1223F1S,DS,,ACCENT CHAIR,HMLG,82.00(Unit Price),0,,,CGYQ,27.5,5.2,1,XS-173
1224F1S,IN,,"ACCENT CHR, BEIGE W/ BLACK & GRAY PATTERN",HMLG,89.00(Unit Price),147,,,CPHW,44,7.97,1,S-200
1224F2S,IN,,"ACCENT CHR, BEIGE W/GRAY, TEAL & YELLOW PATTERN",HMLG,89.00(Unit Price),73,,,CPHW,44,7.97,1,S-200
1224F4S,IN,,"ACCENT CHR, GRAY W/ BEIGE PATTERN",HMLG,89.00(Unit Price),84,,,CPHW,44,7.97,1,S-200
1225-1,IN,,SWIVEL CHAIR,HMLG,149.00(Unit Price),0,,"50 05/01/2018
27 06/06/2018",CPSY,63.8,17.4,1,S-193
1226BK-1,DS,,"CHAIR, BLACK P/U",HMLG,119.00(Promotional Price),0,,,CGDC,38.41,8.62,1,XXH-69
1226BK-4,DS,,"OTTOMAN, BLACK P/U",HMLG,22.00(Promotional Price),0,,,CGDC,20.15,4.11,1,XXH-69
1226RD-1,DS,,"CHAIR, RED P/U",HMLG,154.00(Unit Price),0,,,CGDC,38.41,8.62,1,XXH-69
1226RD-4,DS,,"OTTOMAN, RED P/U",HMLG,15.00(Promotional Price),0,,,CGDC,20.15,4.11,1,XXH-69
1226WT-1,DS,,"CHAIR, WHITE P/U",HMLG,154.00(Unit Price),0,,,CGDC,38.41,8.62,1,XXH-70
1226WT-4,DS,,"OTTOMAN, WHITE P/U",HMLG,82.00(Unit Price),0,,,CGDC,20.15,4.11,1,XXH-70
1233GY,IN,TBDS,"ACCENT CHAIR, GREY",HMLG,133.00(Unit Price),1,,,CPHW,55,13.1,1,XS-196
1233MD,DS,,"ACCENT CHAIR, MUSTARD",HMLG,133.00(Unit Price),0,,,CPHW,55,13.1,1,XS-196
1233RN,DS,TBDS,"ACCENT CHAIR, ORANGE",HMLG,133.00(Unit Price),0,,,CPHW,55,13.1,1,XS-196
1233TL,DS,,"ACCENT CHAIR, TEAL",HMLG,133.00(Unit Price),0,,,CPHW,55,13.1,1,XS-196
1234-1,IN,,"ACCENT CHAIR, SHOW-WOOD",HMLG,289.00(Unit Price),122,,"86 05/08/2018
45 05/15/2018",CPHW,46.2,19.2,1,S-195
1234-4,IN,,"OTTOMAN, SHOW-WOOD",HMLG,145.00(Unit Price),0,,"27 05/08/2018
20 05/15/2018",CPHW,28.6,9.01,1,S-195
1235BR,DS,,"ACCENT CHAIR, LIGHT BROWN",HMLG,72.00(Promotional Price),0,,,CGYQ,40.7,11.49,1,XS-164
1235CH,DS,,"ACCENT CHAIR, CHOCOLATE",HMLG,74.00(Promotional Price),0,,,CGYQ,40.7,11.49,1,XS-164
1236F1S,DS,,ACCENT CHAIR,HMLG,155.00(Unit Price),0,,,CGHP,47.3,18.1,1,XS-159
1237F1S,DS,,ACCENT CHAIR,HMLG,195.00(Unit Price),0,,,CGHP,63.55,20.4,1,XS-160
1239CMT-1,DS,,"COMPUTER CHAIR, CEMENT LTHR",HMLG,,0,,,O,0,8.91,1,
1239TPE-1,DS,TBDS,"COMPUTER CHAIR, TAUPE LTHR",HMLG,15.00(Unit Price),0,,,O,20.85,8.91,1,
1240BGD-1,DS,,"WING CHAIR, BURGUNDY ALL LTHR",HMLG,,0,,,O,0,29.3,1,
1240BGD-1GD,DS,,"WING CHAIR, BURGUNDY ALL LTHR",HMLG,,0,,,O,0,29.3,1,
